month,count
2014-11,9947057
2014-10,10271450
2014-09,10173795
2014-08,9939290
2014-07,10302805
2014-06,10141653
2014-05,10195969
2014-04,10051214
2014-03,10137955
2014-02,9866200
2014-01,10195201
2013-12,10073812
2013-11,10053266
2013-10,10165642
2013-09,0
2013-08,9984133
2013-07,10244381
2013-06,0
2013-05,10087516
2013-04,10024498
2013-03,0
2013-02,9778104
2013-01,10091066
2012-12,9930813
2012-11,10074457
2012-10,10124796
2012-09,9923842
2012-08,10056632
2012-07,10068335
2013-06,9896651
2012-05,10201910
2012-04,9802991
2012-03,10168363
2012-02,9883246
2012-01,9930772
2011-12,10032109
2011-11,10030850
2011-10,9908140
2011-09,10084440
2011-08,9977790
2011-07,10008545
2011-06,10124676
2011-05,10061534
2011-04,9711193
2011-03,10216929
2011-02,9716320
2011-01,9852992
2010-12,10026250
2010-11,9978873
2010-10,9914993
2010-09,10106678
2010-08,9799052